                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        7184      7.5407198873919171E-034      1.0054293183189223E-033      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot 
                            1002          2.0942922400621059E+009          5.5401794963624367E+000          1.9999786177695050E+001          1.0440621549145276E+002          7.8304661618589563E+001          7.0859881438192227E+000          8.0809997470461887E+000         -6.7788902724325772E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3362885685420944E+052         -7.2292620214204593E+033         -7.1542505209886304E+033         -7.5011500431828488E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1003          2.0955114834745891E+009          5.5400725042179779E+000          1.9999528685809249E+001          1.0440688759896111E+002          7.8305165699220822E+001          7.0858969136213741E+000          8.0808957063406766E+000         -6.7750717867713095E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3362606541757896E+052         -7.2548062676519471E+033         -7.1797919603045127E+033         -7.5014307347434559E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1004          2.0969745755695691E+009          5.5399435753039006E+000          1.9999218397750155E+001          1.0440769753273472E+002          7.8305773149551044E+001          7.0857869775706401E+000          8.0807703331139447E+000         -6.7705210726190557E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3362270160050597E+052         -7.2853290303943970E+033         -7.2103113426871961E+033         -7.5017687707201262E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1005          2.0981450492455530E+009          5.5398400948716420E+000          1.9998969353792777E+001          1.0440834761686570E+002          7.8306260712649262E+001          7.0856987405008249E+000          8.0806697058302976E+000         -6.7669883452997925E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3362000170874859E+052         -7.3092558885209719E+033         -7.2342341270843428E+033         -7.5021761436629362E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1006          2.0991131884996533E+009          5.5397542757164162E+000          1.9998762813645140E+001          1.0440888676171318E+002          7.8306665071284868E+001          7.0856255626666025E+000          8.0805862523940473E+000         -6.7641194066704025E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3361776258910142E+052         -7.3287167268837043E+033         -7.2536916955773130E+033         -7.5025031306391743E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1007          2.0999900652297871E+009          5.5396763628394288E+000          1.9998575300538736E+001          1.0440937624630160E+002          7.8307032184726211E+001          7.0855591261738828E+000          8.0805104869157596E+000         -6.7615576081715956E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3361572973324416E+052         -7.3460943896393994E+033         -7.2710666463860579E+033         -7.5027743253340957E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1008          2.1008230493144431E+009          5.5396021840484213E+000          1.9998396773449038E+001          1.0440984228017147E+002          7.8307381710128610E+001          7.0854958734555931E+000          8.0804383522762233E+000         -6.7591219306702632E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3361379428719658E+052         -7.3626275215757458E+033         -7.2875973160982417E+033         -7.5030205477504109E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1009          2.1016347562124403E+009          5.5395297479888868E+000          1.9998222439845506E+001          1.0441029737322873E+002          7.8307723029921533E+001          7.0854341065028494E+000          8.0803679120328358E+000         -6.7568337462212158E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3361190429519124E+052         -7.3781791229649557E+033         -7.3031465731616300E+033         -7.5032549803325175E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
                            1010          2.1024366694957521E+009          5.5394580380468019E+000          1.9998049853057790E+001          1.0441074791213333E+002          7.8308060934099998E+001          7.0853729584525311E+000          8.0802981775979035E+000         -6.7545840512231659E-001         -1.0000000000000000E+000          1.5000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          4.3361003323271647E+052         -7.3934875438077316E+033         -7.3184527046544012E+033         -7.5034839153330448E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000 
